"x","y"
0.0008,0.812
0.0207,0.812
0.0407,0.812
0.0606,0.7971
0.0805,0.7322
0.1005,0.6672
0.1204,0.6422
0.1403,0.6412
0.1603,0.6365
0.1802,0.6198
0.2002,0.6032
0.2201,0.5865
0.24,0.5698
0.26,0.5562
0.2799,0.5522
0.2999,0.5483
0.3198,0.5375
0.3397,0.5268
0.3597,0.518
0.3796,0.5125
0.3996,0.5069
0.4195,0.5025
0.4394,0.4981
0.4594,0.4946
0.4793,0.4951
0.4993,0.4953
0.5192,0.5005
0.5391,0.5058
0.5591,0.5143
0.579,0.5272
0.599,0.5394
0.6189,0.5638
0.6388,0.5904
0.6588,0.6098
0.6787,0.6161
0.6987,0.6225
0.7186,0.6155
0.7385,0.6077
0.7585,0.5997
0.7784,0.5896
0.7984,0.5796
0.8183,0.5719
0.8382,0.5643
0.8582,0.5582
0.8781,0.5555
0.898,0.5528
0.918,0.5802
0.9379,0.609
0.9579,0.6677
0.9778,0.7655
0.9977,0.8633
