x ,y
-0.0003 ,0.9148
0.0197 ,0.9151
0.0396 ,0.9154
0.0596 ,0.9016
0.0796 ,0.8178
0.0996 ,0.734
0.1196 ,0.6989
0.1395 ,0.6853
0.1595 ,0.6704
0.1795 ,0.6488
0.1995 ,0.6271
0.2195 ,0.6082
0.2394 ,0.5893
0.2594 ,0.5738
0.2794 ,0.5683
0.2994 ,0.5629
0.3194 ,0.5518
0.3393 ,0.5403
0.3593 ,0.5305
0.3793 ,0.524
0.3993 ,0.5171
0.4193 ,0.5128
0.4393 ,0.5084
0.4592 ,0.505
0.4792 ,0.505
0.4992 ,0.505
0.5192 ,0.5103
0.5392 ,0.5162
0.5591 ,0.5245
0.5791 ,0.5362
0.5991 ,0.5479
0.6191 ,0.5745
0.6391 ,0.6014
0.659 ,0.621
0.679 ,0.6284
0.699 ,0.6358
0.719 ,0.6291
0.739 ,0.6209
0.7589 ,0.6126
0.7789 ,0.6044
0.7989 ,0.5962
0.8189 ,0.5879
0.8389 ,0.5797
0.8588 ,0.5733
0.8788 ,0.5703
0.8988 ,0.5673
0.9188 ,0.5944
0.9388 ,0.6224
0.9588 ,0.6817
0.9787 ,0.7723
0.9987 ,0.8629
