x,y
42.0,5.0
43.0,5.0
44.0,5.0
45.0,5.0
46.0,5.0
47.0,5.0
48.0,5.0
49.0,5.0
50.0,5.0
51.0,5.0
52.0,5.0
53.0,5.0
54.0,5.0
55.0,5.0
56.0,5.0
57.0,5.0
58.0,5.0
59.0,5.0
60.0,5.0
61.0,5.0
62.0,5.0
63.0,5.0
64.0,5.0
65.0,5.0
66.0,5.0
67.0,5.0
68.0,5.0
69.0,5.0
70.0,5.0
71.0,5.0
72.0,5.0
73.0,5.0
74.0,5.0
75.0,5.0
76.0,5.0
77.0,5.0
78.0,5.0
79.0,5.0
80.0,5.0
81.0,5.0
82.0,5.0
83.0,5.0
84.0,5.0
85.0,5.0
86.0,5.0
87.0,5.0
88.0,5.0
89.0,5.0
90.0,5.0
91.0,5.0
92.0,5.0
93.0,5.0
94.0,5.0
95.0,5.0
96.0,5.0
97.0,5.0
98.0,5.0
99.0,5.0
100.0,5.0
43.0,5.0
44.0,5.0
45.0,5.0
46.0,5.0
47.0,5.0
48.0,5.0
49.0,5.0
50.0,5.0
51.0,5.0
52.0,5.0
53.0,5.0
54.0,5.0
55.0,5.0
56.0,5.0
57.0,5.0
58.0,5.0
59.0,5.0
60.0,5.0
61.0,5.0
62.0,5.0
63.0,5.0
64.0,5.0
65.0,5.0
66.0,5.0
67.0,5.0
68.0,5.0
69.0,5.0
70.0,5.0
71.0,5.0
72.0,5.0
73.0,5.0
74.0,5.0
75.0,5.0
76.0,5.0
77.0,5.0
78.0,5.0
79.0,5.0
80.0,5.0
81.0,5.0
82.0,5.0
83.0,5.0
84.0,5.0
85.0,5.0
86.0,5.0
87.0,5.0
88.0,5.0
89.0,5.0
90.0,5.0
91.0,5.0
92.0,5.0
93.0,5.0
94.0,5.0
95.0,5.0
96.0,5.0
97.0,5.0
98.0,5.0
99.0,5.0
100.0,5.0
100.0,5.0
101.0178273360899,4.979271957243032
102.03396686669646,4.917122201112651
103.04673358512869,4.813653791033051
104.0544480776392,4.6690383028144815
105.05543930830095,4.483515544138786
106.0480473899917,4.257393156899912
107.03062633689076,3.9910461070587324
108.00154679392429,3.684916062858232
108.95919873863251,3.339510662430044
109.90199415097892,2.9554026720068514
110.82836964667408,2.5332290361365537
111.73678906964727,2.0736898214731703
112.62574603936726,1.5775470558959057
113.49376644878782,1.0456234648814373
114.33941090877616,0.4788011072247933
115.16127713497033,-0.12198008762880619
115.9580022731082,-0.7557238782158073
116.72826515897145,-1.421379363065146
117.47078850919749,-2.117842723348712
118.18434103932621,-2.8439590532816617
118.8677395055693,-3.5985242752373203
119.51985066691648,-4.380287136400996
120.13959316432499,-5.187951283651731
120.72593931387604,-6.02017741323133
121.27791681092499,-6.875585491635999
121.79461034241906,-7.752757044047826
122.2751631047092,-8.650237506511331
122.7187782243391,-9.566538637954553
123.1247200794554,-10.500140988055032
123.4923155196477,-11.449496416858281
123.8209549821959,-12.413030661970733
124.11009350287347,-13.389145949069949
124.35925161963088,-14.376223641403378
124.56801616766033,-15.372626923882137
124.73604096452361,-16.376703517318827
124.86304738420684,-17.386788418308665
124.94882481915019,-18.40120666021036
124.99323102948654,-19.418276090648586
125.0,-21.0
125.0,-22.0
125.0,-23.0
125.0,-24.0
125.0,-25.0
125.0,-26.0
125.0,-27.0
125.0,-28.0
125.0,-29.0
125.0,-30.0
124.97486147536083,-31.002451515109826
124.8995090959854,-32.002383015008434
124.77413228663829,-32.99728081943106
124.59904622612058,-33.984643902080705
124.37469105495688,-34.96199017783927
124.10163076894708,-35.92686274236334
123.78055180136388,-36.87683604837922
123.4122612973611,-37.809522003150924
122.99768508492966,-38.722575971792985
122.53786534750266,-39.613702671336654
122.03395800405998,-40.4806619407326
121.48722980331853,-41.32127437228536
120.89905513931284,-42.13342679036266
120.2709125963712,-42.91507756360724
119.60438123217293,-43.66426173729687
118.90113660823016,-44.37909597295057
118.16294657777354,-45.057783282763765
117.39166684162996,-45.69861754697045
116.58923628326451,-46.299987802776585
115.75767209471346,-46.86038229408288
114.89906470566109,-47.3783922718166
114.01557252840792,-47.85271553531889
113.10941653194057,-48.28215970588511
112.18287465874347,-48.665645224228946
111.23827609838747,-49.00220806433525
110.27799543229096,-49.291002156879145
109.30444666437243,-49.53130151611953
108.32007715260087,-49.7225020649201
107.32736145669885,-49.86412315331016
106.32879511746448,-49.9558087667677
105.32688838335004,-49.99732842118743
104.32415990006767,-49.98857774228381
103.32313037908573,-49.929578727972526
102.326316260932,-49.82047969307109
101.33622338923347,-49.661554896457204
100.35534071139514,-49.453203851622405
99.38613402175355,-49.195950322354115
98.43103976293347,-48.89044100607073
97.4924589009907,-48.537443908119755
96.57275088973765,-48.13784641112562
95.67422773942448,-47.692653044240714
94.79914820468649,-47.20298295790731
93.94971210636821,-46.67006711047843
93.12805480149834,-46.09524517377021
92.33624181531721,-45.47996216532455
91.5762636488511,-44.82576481584824
90.8500307750863,-44.134297680960145
90.15936883632192,-43.40729900702102
89.50601405477443,-42.64659636143862
88.89160886797126,-41.85410203843284
88.31769779990508,-41.031808251810226
87.78572357832843,-40.18178212683233
87.29702350794896,-39.30616050376783
86.8528261086427,-38.407144566191306
86.45424802713637,-37.48699430753257
86.10229122992223,-36.54802284978649
85.79784048446216,-35.59259062866569
85.54166113501275,-34.62309945981334
85.33439717866283,-33.641986500993
85.17656964641975,-32.65171812543358
85.06857529341431,-31.654783721730933
85.01068560151691,-30.65368943589216
85.00304609687217,-29.65095187125433
84.68606278233163,-26.94720456738196
84.44340828631307,-25.95179582100128
84.1333692066382,-24.97527365234174
83.75739200621152,-24.022193948660824
83.31723077704602,-23.097003228242222
82.81493905668498,-22.204017895515022
82.25286024758434,-21.34740410320883
81.63361668415318,-20.531158315496413
80.96009739845904,-19.75908866280488
80.23544464167637,-19.034797175283142
79.46303922416124,-18.361662977813978
78.6464847425469,-17.74282652497307
77.78959076744754,-17.181174949485573
76.89635507020665,-16.679328592535775
75.97094497160981,-16.239628778771717
75.01767789957768,-15.864126893039478
74.04100124654624,-15.554574809808756
73.04547162050764,-15.31241671994053
72.03573358651457,-15.138782392928347
71.0164979978278,-15.034481906047754
69.99252001780145,-15.000001865004572
68.96857693504286,-15.035503133714304
67.9494458753489,-15.14082008380421
66.93988151440189,-15.31546136733943
65.9445938952047,-15.558612209168087
64.96822645374617,-15.86913820819055
64.0153343554162,-16.245590629818434
63.09036324324051,-16.68621316493169
62.19762849708321,-17.188950123800474
61.341295100582016,-17.751456026743632
60.52535820974514,-18.371106546779433
59.75362451386566,-19.045010753216356
59.029694475712446,-19.770024599062523
59.3934,-19.2
58.679114285714284,-19.914285714285715
57.96482857142857,-20.628571428571426
57.250542857142854,-21.34285714285714
56.536257142857146,-22.057142857142857
55.82197142857143,-22.771428571428572
55.107685714285715,-23.485714285714284
54.3934,-24.2
53.679114285714284,-24.914285714285715
52.96482857142857,-25.62857142857143
52.250542857142854,-26.34285714285714
51.53625714285714,-27.057142857142857
50.82197142857143,-27.771428571428572
50.107685714285715,-28.485714285714288
49.3934,-29.200000000000003
48.679114285714284,-29.914285714285715
47.96482857142857,-30.62857142857143
47.25054285714286,-31.34285714285714
46.53625714285714,-32.05714285714286
45.82197142857143,-32.77142857142857
45.107685714285715,-33.48571428571429
44.3934,-34.2
43.679114285714284,-34.91428571428572
42.96482857142857,-35.62857142857143
42.25054285714286,-36.34285714285714
41.53625714285714,-37.057142857142864
40.82197142857143,-37.77142857142857
40.107685714285715,-38.48571428571429
39.3934,-39.2
39.31320343559642,-39.313203435596435
38.58938896170524,-40.013122551931104
37.84249446235536,-40.688357895249226
37.0733612678613,-41.33814885482965
36.28285575904799,-41.96176348147084
35.47186839132635,-42.55849931198634
34.64131269165075,-43.12768416048584
33.792124229487314,-43.668676875551014
32.9252595629532,-44.18086806245269
32.041695161313044,-44.663680769596304
31.142426305047046,-45.116571138422
30.228465964729136,-45.53902901602764
29.300843659978625,-45.93057852982429
28.360604299770046,-46.29077862357725
27.408807005408207,-46.619223554228526
26.446523917493565,-46.91554334894117
25.474838988222547,-47.179404221850774
24.49484676038247,-47.41050895005452
23.50765113441717,-47.60859720841431
22.514364124951467,-47.773445862796954
21.51610460817587,-47.904869221420846
20.51399706150176,-48.0027192440263
19.509170296907573,-48.06688570863368
18.50275618940191,-48.09729633570163
17.49588840203679,-48.09391686954551
16.48970110890634,-48.056751116924254
15.485327717570254,-47.98584094275237
14.483899592340293,-47.88126622294162
13.486544779868787,-47.74314475442584
12.494386738473843,-47.57163212246994
11.508543072633488,-47.36692152541282
10.530124274073334,-47.12924355704134
9.56023247086676,-46.85886594684084
8.599960185955812,-46.556093258414364
7.650389106492096,-46.22126654641076
6.712588865383097,-45.8547629723477
5.787615836417272,-45.456995379762695
4.876511944324415,-45.028411829170416
3.9803034911120605,-44.56949509335034
3.099999999999987,-44.080762113533154
2.2365930782550265,-43.56276341709858
1.3910553002068085,-43.016082497440344
0.5643391117033367,-42.44133515669719
-0.24262424276037464,-41.83916881208985
-1.0289257690312716,-41.210261766645814
-1.793679747223866,-40.55532244513303
-2.536024729428764,-39.875088596063264
-3.2551245100802255,-39.17032646066431
-3.9501690678898633,-38.44182990975672
-4.620375478285396,-37.69041954950755
-5.264988795326591,-36.91694179706848
-5.883282902105041,-36.12226792713936
-6.474561328669758,-35.307293090531374
-7.038158036557441,-34.47293530583513
-7.573438169043431,-33.620134425329695
-8.079798766268432,-32.749851076297325
-8.556669444435396,-31.86306557893641
-9.003513038311471,-30.96077684209162
-9.419826206311313,-30.044001238045023
-9.80513999748015,-29.11377145763582
-10.159020379737946,-28.171135346998135
-10.481068728789605,-27.217154727227395
-10.770922277150504,-26.252904198304723
-11.028254522781562,-25.279469928626725
-11.252775596873537,-24.297948431504196
-11.44423259036624,-23.309445330007904
-11.60240983883492,-22.315074111552775
-11.727129165422838,-21.315954873623426
-11.818250081546449,-20.31321306205384
-11.875669945147088,-19.307978203282445
-11.899324076310858,-18.30138263201067
-11.88918583012656,-17.29456021569816
-11.84526662669952,-16.2886450773314
-11.767615938287559,-15.284770317904615
-11.656321233573546,-14.284066740051657
-11.511507879137383,-13.287661574267187
-11.333338998238297,-12.296677209151254
-11.122015287066638,-11.31222992710833
-10.877774788672046,-10.33542864692437
-11.251914507889076,-11.897974949940082
-11.026259148865243,-10.912439357254526
-10.76752280782388,-9.935067242177187
-10.475999351965761,-8.966968683046565
-10.152019887395245,-8.009243225494755
-9.795952383056996,-7.062978633606956
-9.40820125280479,-6.12924965446239
-8.989206896076855,-5.209116797459449
-8.539445197699656,-4.303625129811934
-8.059426987388047,-3.4138030895839524
-7.549697459555862,-2.5406613176120683
-7.010835554095706,-1.6851915096409726
-6.443453298831471,-0.8483652899767655
-5.848195114390158,-0.03113310793675339
-5.225737082282787,0.7655768416504465
-4.5767861770254115,1.5408596726688337
-3.902079463172676,2.29383483546523
-3.2023832581755443,3.0236471169588093
-2.478492262014459,3.7294676119737495
-1.731228654596002,4.410494664692074
-0.9614411619386338,5.065954779157096
-0.17000409220775836,5.695103497793653
0.6421836573047486,6.297226246947059
1.4741996211288289,6.871639148480565
2.325098813332806,7.417689796509514
3.1939148008182396,7.934757998390044
4.079660800973864,8.42225647912053
4.981330802442271,8.879631548356066
5.897900707725993,9.306363729278026
6.828329496335613,9.701968348604783
7.771560407158509,10.065996087073223
8.726522138705535,10.398033489765965
9.692130065872341,10.69770343570459
10.667287471833351,10.964665566175615
11.65088679366928,11.198616671302599
12.64181088031339,11.399291034425467
13.638934261387789,11.56646073389578
14.641124425488588,11.699935901945295
15.647243106468137,11.799564940333692
16.65614757625337,11.865234692530624
17.66669194273189,11.896870572236473
18.677728451231715,11.894436648095883
19.688108788116484,11.857935684507822
20.69668538501552,11.787409138485838
21.702312722207438,11.682937112572063
22.703848629676926,11.54463826385847
23.70015558436702,11.37266966921868
24.690102002153466,11.167226646903408
25.672563523073723,10.928542534702174
26.646424288351003,10.656888424923238
27.610578207762764,10.352572856492749
28.56393021591434,10.01594146452284
29.505397515990765,9.647376587746663
30.433910809574257,9.247296834266223
31.348415511130458,8.816156606106262
32.24787294578417,8.354445583114163
33.13126152902397,7.862688166792047
33.99757792699615,7.341442884692782
34.32530740487045,7.167630137840231
35.2841503485794,6.679075255952366
36.26977802180563,6.247098690514434
37.278855372496025,5.873162113484906
38.30796800231177,5.558530807873627
39.35363371987146,5.304269386424593
40.412314323384564,5.111238189303435
42.0,5.0
