SEG.;START X;START Y;END X;END Y;WIDTH 1;WIDTH 2;LENGTH;CENTRE X;CENTRE Y;RADIUS
1;225;0;260;35;0;0;54.9779;225;35;35
2;260;35;260;85;0;0;50;;;
3;260;85;235;110;0;0;39.2699;235;85;25
4;235;110;185.131;110;0;0;49.869;;;
5;185.131;110;145.0057;89.8323;0;0;46.5741;185.131;60;50
6;145.0057;89.8323;145.1891;90.0789;0;0;0.3073;;;
7;145.1891;90.0789;136.4272;70.7373;0;0;21.3965;185.3143;60.2466;50
8;136.4272;70.7373;134.3937;61.2608;0;0;9.6922;;;
9;134.3937;61.2608;114.8388;45.4571;0;0;27.1882;114.8388;65.4571;20
10;114.8388;45.4571;114.02;45.4571;0;0;0.8188;;;
11;114.02;45.4571;103.6574;48.3511;0;0;10.8933;114.02;65.4571;20
12;103.6574;48.3511;73.7006;66.4986;0;0;35.0249;;;
13;73.7006;66.4986;64.9365;89.4501;0;0;26.4546;84.0632;83.6046;20
14;64.9365;89.4501;115.4611;254.7705;0;0;172.8687;;;
15;115.4611;254.7705;81.9894;300;0;0;65.3589;81.9894;265;35
16;81.9894;300;35;300;0;0;46.9894;;;
17;35;300;0;265;0;0;54.9779;35;265;35
18;0;265;0;200;0;0;65;;;
19;0;200;0;50;0;0;150;;;
20;0;50;50;0;0;0;78.5398;50;50;50
21;50;0;225;0;0;0;175;;;
