x,y
0.0892,1.033
1.2839,13.5061
2.4785,24.073
3.6732,32.8661
4.8678,39.5783
6.0625,45.2326
7.2571,49.4903
8.4518,53.2224
9.6464,56.3509
10.8411,58.2574
12.0357,60.0931
13.2303,61.5026
14.425,61.2373
15.6196,60.9721
16.8143,60.6424
18.0089,60.3059
19.2036,59.9704
20.3982,59.7119
21.5929,59.4534
22.7875,59.2177
23.9822,59.002
25.1768,58.7864
26.3714,58.5924
27.5661,58.416
28.7607,58.2396
29.9554,58.0824
31.15,57.9447
32.3447,57.8069
33.5393,57.6692
34.734,57.5314
35.9286,57.3936
37.1233,57.2261
38.3179,56.9958
39.5125,56.7656
40.7072,56.5354
41.9018,56.3052
43.0965,56.0721
44.2911,55.7763
45.4858,55.4805
46.6804,55.1847
47.8751,54.8666
49.0697,54.5412
50.2644,54.2158
51.459,53.7349
52.6536,53.2073
53.8483,52.6797
55.0429,52.1514
56.2376,51.6157
57.4322,51.08
58.6269,50.5444
59.8215,50.0087
